rating,Processor_Series,Core_Count,Clock_Speed_GHz,RAM Size GB,Storage Size GB,battery_capacity,fast_charging_power,Screen_Size,Resolution_Width,Resolution_Height,Refresh_Rate,primary_rear_camera_mp,num_rear_cameras,primary_front_camera_mp,num_front_cameras,Performance_Tier_Encoded,Processor_Brand_Encoded,RAM_Tier_Encoded,Notch_Type_Encoded,4G_Encoded,Dual_Sim_Encoded,5G_Encoded,Vo5G_Encoded,NFC_Encoded,IR_Blaster_Encoded,memory_card_support_Encoded,os_name_Encoded,brand_encoded_label,os_version_label,storage_gb,Price_Encoded
0.8620689655172411,870.0,1.0,0.990566037735849,0.6666666666666666,0.25,0.3250000000000002,0.4888888888888889,0.7747603833865815,0.4102564102564103,0.6086956521739131,0.3333333333333333,0.2323232323232323,1.0,0.2542372881355932,0.5,4,2,3,1,1,1,1,0,1,0,1,1,17,4,1000.0,1
0.96551724137931,865.0,1.0,0.8207547169811318,0.4444444444444444,0.125,0.375,0.0,0.755591054313099,0.4102564102564103,0.6086956521739131,0.3333333333333333,0.0505050505050505,1.0,0.5254237288135594,0.5,4,2,1,1,1,1,1,0,1,0,1,1,43,0,1000.0,0
0.5172413793103448,4.0,1.0,0.6132075471698111,0.2222222222222222,0.0625,0.625,0.1333333333333333,0.7683706070287539,0.4102564102564103,0.6108695652173913,0.3333333333333333,0.2424242424242424,0.6666666666666666,0.1186440677966101,0.5,2,2,2,2,1,1,1,0,0,0,1,1,17,4,1000.0,0
0.4827586206896548,99.0,1.0,0.5188679245283019,0.2222222222222222,0.0625,0.625,0.1333333333333333,0.7683706070287539,0.4102564102564103,0.6086956521739131,0.1666666666666666,0.2424242424242424,1.0,0.1186440677966101,0.5,2,3,2,2,1,1,0,0,0,1,1,1,38,4,512.0,0
0.6896551724137931,680.0,1.0,0.6132075471698111,0.4444444444444444,0.125,0.625,0.3259259259259259,0.7683706070287539,0.4102564102564103,0.6108695652173913,0.1666666666666666,0.2424242424242424,1.0,0.2542372881355932,0.5,2,2,1,2,1,1,0,0,0,0,1,1,50,4,1000.0,0
0.8275862068965516,8100.0,1.0,0.8254716981132075,0.4444444444444444,0.125,0.665,0.4962962962962963,0.7715654952076676,0.4102564102564103,0.625,0.4666666666666667,0.3131313131313131,1.0,0.2542372881355932,0.5,3,1,1,1,1,1,1,0,1,1,0,1,38,4,1000.0,0
0.8275862068965516,695.0,1.0,0.5188679245283019,0.4444444444444444,0.125,0.625,0.4962962962962963,0.7827476038338657,0.4102564102564103,0.6086956521739131,0.3333333333333333,0.3131313131313131,1.0,0.2542372881355932,0.5,2,2,1,1,1,1,1,0,0,1,1,1,38,2,1000.0,0
0.6206896551724137,930.0,1.0,0.5188679245283019,0.3333333333333333,0.125,0.2250000000000001,0.4888888888888889,0.7396166134185302,0.4102564102564103,0.6086956521739131,0.1666666666666666,0.2424242424242424,1.0,0.2542372881355932,0.5,3,1,2,1,1,1,1,0,0,0,0,1,39,4,1000.0,0
0.6896551724137931,695.0,1.0,0.5188679245283019,0.3333333333333333,0.125,0.625,0.2444444444444444,0.7396166134185302,0.4102564102564103,0.6086956521739131,0.0,0.2424242424242424,1.0,0.2542372881355932,0.5,2,2,2,1,1,1,1,0,1,0,0,1,29,2,1000.0,0
0.7586206896551722,665.0,1.0,0.6132075471698111,0.4444444444444444,0.125,0.375,0.1333333333333333,0.7364217252396166,0.4102564102564103,0.5923913043478262,0.0,0.2323232323232323,0.3333333333333333,0.5254237288135594,0.5,2,2,1,2,1,1,0,0,0,0,1,1,50,25,256.0,0
0.4482758620689653,99.0,1.0,0.5188679245283019,0.4444444444444444,0.125,1.0,0.1333333333333333,0.8067092651757188,0.2564102564102564,0.3913043478260869,0.1666666666666666,0.2424242424242424,0.3333333333333333,0.1186440677966101,0.5,2,3,1,2,1,1,0,0,0,0,1,1,47,4,512.0,0
0.6896551724137931,9000.0,1.0,0.990566037735849,0.8888888888888888,0.5,1.0,0.4814814814814815,0.8003194888178913,0.4102564102564103,0.6217391304347827,0.5833333333333334,0.2424242424242424,0.0,0.2542372881355932,0.0,4,1,3,4,1,1,1,0,1,0,1,1,1,4,1000.0,1
